0.100000 1.090000 1.056829
0.130000 1.430000 1.371629
0.169000 1.770000 1.778200
0.220000 2.290000 2.304012
0.286000 2.970000 2.971884
0.371000 3.800000 3.805636
0.483000 4.850000 4.848132
0.627000 5.990000 6.076305
0.816000 7.330000 7.470333
1.060000 9.050000 8.885138
1.380000 10.200000 10.123974
1.790000 10.800000 10.892900
2.330000 11.200000 11.000168
3.030000 10.200000 10.402594
3.940000 9.180000 9.273937
5.120000 8.000000 7.888721
6.650000 6.640000 6.487696
8.650000 5.180000 5.210484
11.200000 4.120000 4.146772
14.600000 3.260000 3.261345
19.000000 2.510000 2.570241
24.700000 1.940000 2.041801
32.100000 1.640000 1.646513
41.800000 1.350000 1.359032
54.300000 1.240000 1.165981
70.600000 1.100000 1.051154
91.700000 1.030000 1.006778
119.000000 1.040000 1.027026
155.000000 1.100000 1.110452
202.000000 1.270000 1.255482
262.000000 1.460000 1.455166
341.000000 1.650000 1.712586
443.000000 1.980000 2.023661
576.000000 2.340000 2.400488
748.000000 2.910000 2.858280
973.000000 3.470000 3.421677
1260.000000 4.130000 4.080571
1640.000000 4.910000 4.835334
2140.000000 5.660000 5.620102
2780.000000 6.030000 6.329217
3610.000000 6.960000 6.899579
4700.000000 7.240000 7.293175
6100.000000 7.740000 7.486304
7940.000000 7.420000 7.467770
10300.000000 7.170000 7.217528
13400.000000 6.760000 6.730087
17400.000000 5.890000 6.060494
22700.000000 5.380000 5.280776
29500.000000 4.530000 4.511570
38300.000000 3.830000 3.809514
49800.000000 3.200000 3.192992
64700.000000 2.670000 2.663376
84200.000000 2.160000 2.200603
