0.100000 38.990000 40.710141
0.130000 41.390000 40.680137
0.169000 40.690000 40.629626
0.220000 40.090000 40.544245
0.286000 40.090000 40.402076
0.371000 41.090000 40.168606
0.483000 40.890000 39.780656
0.627000 38.990000 39.163862
0.816000 39.690000 38.193466
1.060000 36.190000 36.761644
1.380000 36.490000 34.759672
1.790000 30.390000 32.270319
2.330000 28.390000 29.438525
3.030000 25.990000 26.657077
3.940000 23.890000 24.248051
5.120000 23.290000 22.388562
6.650000 21.190000 21.073984
8.650000 20.590000 20.196257
11.200000 19.190000 19.646561
14.600000 19.290000 19.297217
19.000000 19.090000 19.086992
24.700000 18.790000 18.961070
32.100000 18.790000 18.885594
41.800000 19.290000 18.839831
54.300000 19.390000 18.811991
70.600000 18.690000 18.793813
91.700000 18.590000 18.780377
119.000000 17.790000 18.767906
155.000000 19.090000 18.752657
202.000000 18.790000 18.730448
262.000000 18.890000 18.695894
341.000000 19.290000 18.638592
443.000000 18.290000 18.544712
576.000000 18.390000 18.390381
748.000000 18.390000 18.142850
973.000000 17.690000 17.752092
1260.000000 16.790000 17.176120
1640.000000 16.190000 16.346432
2140.000000 14.790000 15.250110
2780.000000 14.190000 13.967296
3610.000000 12.290000 12.575185
4700.000000 11.490000 11.137862
6100.000000 10.390000 9.709826
7940.000000 8.190000 8.234222
10300.000000 6.590000 6.733907
13400.000000 5.090000 5.222343
17400.000000 3.740000 3.833132
22700.000000 2.570000 2.643409
29500.000000 1.810000 1.746555
38300.000000 1.090000 1.113992
49800.000000 0.700000 0.690259
64700.000000 0.540000 0.420880
84200.000000 0.000000 0.252933
