12154.817788, 0.000001, 0.000520
9617.090390, 0.000664, 0.002180
7609.486710, 0.001360, 0.003168
6020.784481, 0.002151, 0.004009
4763.841711, 0.003024, 0.004782
3769.338196, 0.003881, 0.005505
2982.437662, 0.004813, 0.006164
2359.747927, 0.005773, 0.006825
1867.204937, 0.006809, 0.007527
1477.390553, 0.007866, 0.008236
1168.996116, 0.009021, 0.009007
924.900190, 0.010231, 0.009836
731.810940, 0.011518, 0.010763
579.029332, 0.012919, 0.011751
458.158560, 0.014351, 0.012847
362.508005, 0.015851, 0.014085
286.825006, 0.017407, 0.015518
226.948414, 0.018942, 0.017218
179.570171, 0.020496, 0.019303
142.078849, 0.022053, 0.021911
112.419950, 0.023647, 0.025202
88.950621, 0.025339, 0.029367
70.380048, 0.027230, 0.034601
55.687503, 0.029370, 0.041135
44.061803, 0.031929, 0.049264
34.864061, 0.035032, 0.059277
27.584378, 0.038859, 0.071580
21.825545, 0.043722, 0.086476
17.269515, 0.049744, 0.104752
13.663667, 0.057559, 0.127006
10.811724, 0.067749, 0.154045
8.554431, 0.081293, 0.186593
6.768736, 0.099517, 0.225672
5.355687, 0.124453, 0.271938
4.237518, 0.158681, 0.325760
3.352878, 0.205611, 0.386371
2.652872, 0.269330, 0.451559
2.099085, 0.353408, 0.516651
1.660927, 0.459503, 0.574274
1.314125, 0.585644, 0.615356
1.039822, 0.724548, 0.631635
0.822722, 0.864925, 0.619174
0.650965, 0.995571, 0.579816
0.515065, 1.106540, 0.521160
0.407534, 1.194770, 0.451703
0.322456, 1.261406, 0.380325
0.255131, 1.308600, 0.311733
0.201879, 1.342022, 0.251894
0.159725, 1.363010, 0.197248
0.126376, 1.374756, 0.152269
0.099999, 1.382420, 0.114137
